,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Castro,BR,67.83,-24.79,-50.01,90,92,7.83
1,Balclutha,NZ,53.97,-46.23,169.75,92,0,6.82
2,Kashechewan,CA,22.56,52.3,-81.62,83,76,11.18
3,Bredasdorp,ZA,59,-34.53,20.04,77,0,4.7
4,Ushuaia,AR,33.8,-54.8,-68.3,98,90,26.4
5,Tiksi,RU,7.71,71.69,128.87,90,64,3.91
6,East London,ZA,66.48,-33.02,27.91,100,0,5.82
7,Albany,US,42.1,42.65,-73.76,72,90,14.99
8,Port Blair,IN,83.71,11.67,92.75,100,0,3.13
9,Pidhorodne,UA,33.8,48.58,35.11,96,90,6.71
10,Hermanus,ZA,50.95,-34.42,19.23,94,0,2.91
11,Lluta,PE,64.4,-16.01,-72.01,31,0,11.41
12,Damaturu,NG,77.37,11.75,11.96,31,0,8.61
13,Asau,RO,46.4,46.43,26.4,100,75,6.93
14,Kapaa,US,74.35,22.08,-159.32,83,90,12.75
15,Qaanaaq,GL,-2.51,77.48,-69.36,100,24,12.19
16,Sao Miguel do Araguaia,BR,86.05,-13.28,-50.16,63,64,2.91
17,Felege Neway,ET,58.96,6.3,36.88,79,0,1.9
18,New Norfolk,AU,68,-42.78,147.06,49,0,11.41
19,Jamestown,US,46.45,42.1,-79.24,100,90,6.93
20,Vaini,TO,82.4,-21.2,-175.2,83,75,2.24
21,Puerto Ayora,EC,80.6,-0.74,-90.35,47,20,12.75
22,Rawson,AR,65.22,-43.3,-65.1,60,100,20.47
23,Atasu,KZ,25.08,48.68,71.64,89,56,16.22
24,Karratha,AU,66.61,-20.74,116.85,60,0,5.59
25,Makakilo City,US,78.37,21.35,-158.09,57,20,10.29
26,Rikitea,PF,73.18,-23.12,-134.97,100,48,18.45
27,Teknaf,BD,75.93,20.86,92.31,97,0,4.36
28,Butaritari,KI,83.22,3.07,172.79,100,20,4.92
29,Tsiombe,MG,63.91,-25.3,45.48,83,44,4.92
30,Socorro,US,65.61,31.65,-106.3,13,1,10.29
31,Anadyr,RU,28.4,64.75,177.48,92,90,42.5
32,Deer Lake,CA,37.4,49.17,-57.43,93,90,5.82
33,Barrow,US,10.4,71.29,-156.79,85,90,10.29
34,Mahajanga,MG,80.6,-15.72,46.32,83,40,6.93
35,Roald,NO,33.35,62.58,6.13,86,20,5.82
36,Punta Arenas,CL,40.83,-53.15,-70.92,100,36,37.02
37,Bluff,NZ,52.75,-46.6,168.33,100,0,13.09
38,Ólafsvík,IS,35.65,64.89,-23.71,100,64,4.7
39,Carnarvon,AU,66.57,-24.87,113.63,100,0,11.3
40,Kamaishi,JP,36.1,39.27,141.88,82,0,11.97
41,Bengkulu,ID,76.24,-3.8,102.27,100,92,8.16
42,Batemans Bay,AU,63.06,-35.72,150.18,90,12,2.8
43,Kaohsiung,TW,68.67,22.62,120.31,73,75,5.82
44,Kavaratti,IN,82.99,10.57,72.64,100,0,2.68
45,Meulaboh,ID,76.83,4.14,96.13,100,64,2.24
46,San Quintin,MX,76.51,30.48,-115.95,41,0,4.59
47,Tasiilaq,GL,17.6,65.61,-37.64,52,0,5.82
48,Ilulissat,GL,-2.21,69.22,-51.1,44,0,1.12
49,Vila Franca do Campo,PT,66.2,37.72,-25.43,82,40,6.93
50,Port-Gentil,GA,77,-0.72,8.78,88,90,3.36
51,Kavali,IN,74.22,14.92,79.98,93,92,0.89
52,Hualmay,PE,68.91,-11.1,-77.61,68,64,5.93
53,Cherskiy,RU,7.66,68.75,161.3,89,88,6.93
54,Upernavik,GL,7.21,72.79,-56.15,100,0,12.75
55,Smithers,CA,30.2,54.78,-127.17,100,90,2.24
56,Chimore,BO,72.91,-16.98,-65.13,99,92,6.38
57,Port Hardy,CA,44.6,50.7,-127.42,93,90,19.46
58,Mathura,IN,61.26,27.5,77.68,86,0,8.61
59,Murray Bridge,AU,62.65,-35.12,139.27,89,0,12.97
60,Tchollire,CM,73.41,8.4,14.17,72,0,2.46
61,Nouadhibou,MR,68,20.93,-17.03,82,12,10.29
62,Sorland,NO,41.28,67.67,12.69,100,80,12.41
63,Peniche,PT,54.54,39.36,-9.38,51,0,8.05
64,Thompson,CA,10.4,55.74,-97.86,72,90,16.11
65,Busselton,AU,60.54,-33.65,115.33,100,64,8.28
66,Yellowknife,CA,-7.61,62.46,-114.35,76,75,10.29
67,Nizhnekamsk,RU,32,55.64,51.82,98,90,13.42
68,Guaranda,EC,71.6,-1.6,-79,49,40,4.7
69,Khatanga,RU,-10.07,71.97,102.5,53,20,11.74
70,Chokurdakh,RU,10.09,70.63,147.92,81,80,13.42
